Driver,GP,Tyres,From,To,#Laps,Year,
Valtteri Bottas,Australia,Soft Used,1,23,23,2019,
Valtteri Bottas,Australia,Medium New,24,58,35,2019,
Lewis Hamilton,Australia,Soft Used,1,15,15,2019,
Lewis Hamilton,Australia,Medium New,16,58,43,2019,
Max Verstappen,Australia,Soft Used,1,25,25,2019,
Max Verstappen,Australia,Medium New,26,58,33,2019,
Sebastian Vettel,Australia,Soft Used,1,14,14,2019,
Sebastian Vettel,Australia,Medium New,15,58,44,2019,
Charles Leclerc,Australia,Soft Used,1,28,28,2019,
Kevin Magnussen,Australia,Soft Used,1,14,14,2019,
Kevin Magnussen,Australia,Medium New,15,58,44,2019,
Nico Hulkenberg,Australia,Soft New,1,13,13,2019,
Kimi Räikkönen,Australia,Soft Used,1,12,12,2019,
Lance Stroll,Australia,Medium New,1,27,27,2019,
Daniil Kvyat,Australia,Medium New,1,26,26,2019,
Pierre Gasly,Australia,Medium New,1,37,37,2019,
Lando Norris,Australia,Soft Used,1,15,15,2019,
Sergio Perez,Australia,Soft Used,1,13,13,2019,
Alexander Albon,Australia,Soft New,1,14,14,2019,
Antonio Giovinazzi,Australia,Medium New,1,27,27,2019,
Antonio Giovinazzi,Australia,Soft New,28,57,30,2019,
Nico Hulkenberg,Australia,Hard New,14,57,44,2019,
Kimi Räikkönen,Australia,Medium New,13,57,45,2019,
Lance Stroll,Australia,Hard New,28,57,30,2019,
Daniil Kvyat,Australia,Hard Used,27,57,31,2019,
Pierre Gasly,Australia,Soft New,38,57,20,2019,
Lando Norris,Australia,Hard New,16,57,42,2019,
Sergio Perez,Australia,Hard New,14,57,44,2019,
Alexander Albon,Australia,Medium New,15,57,43,2019,
George Russell,Australia,Medium New,1,26,26,2019,
George Russell,Australia,Soft New,27,42,16,2019,
George Russell,Australia,Hard New,43,56,14,2019,
Robert Kubica,Australia,Hard New,1,1,1,2019,
Robert Kubica,Australia,Medium New,2,28,27,2019,
Robert Kubica,Australia,Soft New,29,44,16,2019,
Robert Kubica,Australia,Soft Used,45,55,11,2019,
Romain Grosjean,Australia,Soft Used,1,15,15,2019,
Romain Grosjean,Australia,Medium New,16,29,14,2019,
Daniel Ricciardo,Australia,Soft New,1,1,1,2019,
Carlos Sainz,Australia,Soft New,1,9,9,2019,
Charles Leclerc,Australia,Hard New,29,58,30,2019,
Lewis Hamilton,Bahrain,Soft Used,1,13,13,2019,
Lewis Hamilton,Bahrain,Soft New,14,34,21,2019,
Lewis Hamilton,Bahrain,Medium New,35,57,23,2019,
Valtteri Bottas,Bahrain,Soft Used,1,12,12,2019,
Valtteri Bottas,Bahrain,Medium New,13,37,25,2019,
Valtteri Bottas,Bahrain,Soft Used,38,57,20,2019,
Charles Leclerc,Bahrain,Soft Used,1,13,13,2019,
Max Verstappen,Bahrain,Soft Used,1,11,11,2019,
Sebastian Vettel,Bahrain,Soft Used,1,14,14,2019,
Lando Norris,Bahrain,Soft Used,1,10,10,2019,
Kimi Räikkönen,Bahrain,Soft Used,1,9,9,2019,
Pierre Gasly,Bahrain,Soft Used,1,9,9,2019,
Alexander Albon,Bahrain,Soft Used,1,9,9,2019,
Sergio Perez,Bahrain,Soft New,1,8,8,2019,
Antonio Giovinazzi,Bahrain,Soft New,1,16,16,2019,
Daniil Kvyat,Bahrain,Soft New,1,12,12,2019,
Kevin Magnussen,Bahrain,Soft Used,1,10,10,2019,
Lance Stroll,Bahrain,Soft New,1,1,1,2019,
George Russell,Bahrain,Soft New,1,12,12,2019,
Robert Kubica,Bahrain,Medium New,1,11,11,2019,
Nico Hulkenberg,Bahrain,Soft New,1,12,12,2019,
Carlos Sainz,Bahrain,Soft Used,1,4,4,2019,
Romain Grosjean,Bahrain,Soft Used,1,1,1,2019,
Charles Leclerc,Bahrain,Medium New,14,36,23,2019,
Charles Leclerc,Bahrain,Medium New,37,57,21,2019,
Max Verstappen,Bahrain,Medium New,12,32,21,2019,
Max Verstappen,Bahrain,Medium New,33,57,25,2019,
Sebastian Vettel,Bahrain,Medium New,15,35,21,2019,
Sebastian Vettel,Bahrain,Medium New,36,38,3,2019,
Sebastian Vettel,Bahrain,Soft Used,39,57,19,2019,
Lando Norris,Bahrain,Medium New,11,34,24,2019,
Lando Norris,Bahrain,Soft Used,35,57,23,2019,
Kimi Räikkönen,Bahrain,Medium New,10,33,24,2019,
Kimi Räikkönen,Bahrain,Soft Used,34,57,24,2019,
Pierre Gasly,Bahrain,Soft New,10,39,30,2019,
Pierre Gasly,Bahrain,Medium New,40,57,18,2019,
Alexander Albon,Bahrain,Soft New,10,25,16,2019,
Alexander Albon,Bahrain,Medium New,26,57,32,2019,
Sergio Perez,Bahrain,Medium New,9,33,25,2019,
Sergio Perez,Bahrain,Medium New,34,57,24,2019,
Antonio Giovinazzi,Bahrain,Medium New,17,40,24,2019,
Antonio Giovinazzi,Bahrain,Soft New,41,57,17,2019,
Daniil Kvyat,Bahrain,Medium New,13,38,26,2019,
Daniil Kvyat,Bahrain,Soft New,39,56,18,2019,
Kevin Magnussen,Bahrain,Medium New,11,38,28,2019,
Kevin Magnussen,Bahrain,Soft Used,39,56,18,2019,
Lance Stroll,Bahrain,Medium New,2,23,22,2019,
Lance Stroll,Bahrain,Medium New,24,56,33,2019,
George Russell,Bahrain,Medium New,13,26,14,2019,
George Russell,Bahrain,Medium New,27,56,30,2019,
Robert Kubica,Bahrain,Soft New,12,27,16,2019,
Robert Kubica,Bahrain,Medium Used,28,55,28,2019,
Nico Hulkenberg,Bahrain,Soft New,13,32,20,2019,
Nico Hulkenberg,Bahrain,Medium New,33,53,21,2019,
Daniel Ricciardo,Bahrain,Soft New,1,24,24,2019,
Daniel Ricciardo,Bahrain,Medium New,25,53,29,2019,
Carlos Sainz,Bahrain,Medium New,5,24,20,2019,
Carlos Sainz,Bahrain,Hard Used,25,40,16,2019,
Carlos Sainz,Bahrain,Soft Used,41,53,13,2019,
Romain Grosjean,Bahrain,Medium New,2,16,15,2019,
Lewis Hamilton,China,Medium Used,1,22,22,2019,
Lewis Hamilton,China,Hard New,23,36,14,2019,
Valtteri Bottas,China,Medium Used,1,21,21,2019,
Valtteri Bottas,China,Hard New,22,36,15,2019,
Valtteri Bottas,China,Medium New,37,56,20,2019,
Sebastian Vettel,China,Medium Used,1,18,18,2019,
Sebastian Vettel,China,Hard New,19,35,17,2019,
Sebastian Vettel,China,Medium New,36,56,21,2019,
Max Verstappen,China,Medium Used,1,17,17,2019,
Max Verstappen,China,Hard New,18,34,17,2019,
Max Verstappen,China,Medium New,35,56,22,2019,
Charles Leclerc,China,Medium Used,1,22,22,2019,
Charles Leclerc,China,Hard New,23,42,20,2019,
Charles Leclerc,China,Medium New,43,56,14,2019,
Pierre Gasly,China,Soft Used,1,19,19,2019,
Pierre Gasly,China,Hard New,20,39,20,2019,
Pierre Gasly,China,Medium New,40,53,14,2019,
Pierre Gasly,China,Soft Used,54,56,3,2019,
Daniel Ricciardo,China,Soft Used,1,13,13,2019,
Daniel Ricciardo,China,Hard New,14,55,42,2019,
Sergio Perez,China,Medium New,1,20,20,2019,
Sergio Perez,China,Hard New,21,55,35,2019,
Kimi Räikkönen,China,Medium New,1,25,25,2019,
Kimi Räikkönen,China,Hard New,26,55,30,2019,
Alexander Albon,China,Soft Used,1,19,19,2019,
Alexander Albon,China,Hard New,20,55,36,2019,
Romain Grosjean,China,Soft Used,1,8,8,2019,
Romain Grosjean,China,Hard New,9,35,27,2019,
Romain Grosjean,China,Medium New,36,55,20,2019,
Lance Stroll,China,Medium New,1,20,20,2019,
Lance Stroll,China,Hard New,21,40,20,2019,
Lance Stroll,China,Soft New,41,55,15,2019,
Kevin Magnussen,China,Hard New,10,33,24,2019,
Kevin Magnussen,China,Soft Used,1,9,9,2019,
Kevin Magnussen,China,Medium New,34,55,22,2019,
Carlos Sainz,China,Medium New,1,1,1,2019,
Carlos Sainz,China,Hard New,2,36,35,2019,
Carlos Sainz,China,Soft New,37,55,19,2019,
Antonio Giovinazzi,China,Soft Used,1,7,7,2019,
Antonio Giovinazzi,China,Medium New,8,30,23,2019,
Antonio Giovinazzi,China,Medium New,31,55,25,2019,
George Russell,China,Medium New,1,22,22,2019,
George Russell,China,Hard New,23,49,27,2019,
George Russell,China,Soft New,50,54,5,2019,
Robert Kubica,China,Medium New,1,26,26,2019,
Robert Kubica,China,Hard New,27,54,28,2019,
Lando Norris,China,Medium New,1,1,1,2019,
Lando Norris,China,Hard New,2,17,16,2019,
Lando Norris,China,Medium Used,18,34,17,2019,
Lando Norris,China,Soft New,35,50,16,2019,
Daniil Kvyat,China,Medium New,1,25,25,2019,
Daniil Kvyat,China,Hard New,26,30,5,2019,
Daniil Kvyat,China,Soft New,31,41,11,2019,
Nico Hulkenberg,China,Soft Used,1,11,11,2019,
Nico Hulkenberg,China,Hard New,12,16,5,2019,
Lewis Hamilton,China,Medium Used,37,56,20,2019,
Valtteri Bottas,Azerbaijan,Soft Used,1,12,12,2019,
Valtteri Bottas,Azerbaijan,Medium New,13,51,39,2019,
Lewis Hamilton,Azerbaijan,Soft Used,1,13,13,2019,
Lewis Hamilton,Azerbaijan,Medium New,14,51,38,2019,
Sebastian Vettel,Azerbaijan,Soft Used,1,11,11,2019,
Sebastian Vettel,Azerbaijan,Medium New,12,51,40,2019,
Max Verstappen,Azerbaijan,Soft Used,1,14,14,2019,
Max Verstappen,Azerbaijan,Medium New,15,51,37,2019,
Charles Leclerc,Azerbaijan,Medium New,1,34,34,2019,
Charles Leclerc,Azerbaijan,Soft New,35,47,13,2019,
Charles Leclerc,Azerbaijan,Soft New,48,51,4,2019,
Sergio Perez,Azerbaijan,Soft Used,1,10,10,2019,
Sergio Perez,Azerbaijan,Medium New,11,51,41,2019,
Carlos Sainz,Azerbaijan,Medium New,13,51,39,2019,
Lando Norris,Azerbaijan,Soft Used,1,9,9,2019,
Lando Norris,Azerbaijan,Medium New,10,39,30,2019,
Lando Norris,Azerbaijan,Soft Used,40,51,12,2019,
Carlos Sainz,Azerbaijan,Soft New,1,12,12,2019,
Lance Stroll,Azerbaijan,Soft New,1,10,10,2019,
Lance Stroll,Azerbaijan,Medium New,11,51,41,2019,
Kimi Räikkönen,Azerbaijan,Soft Used,1,6,6,2019,
Kimi Räikkönen,Azerbaijan,Medium New,7,50,44,2019,
Alexander Albon,Azerbaijan,Soft New,1,12,12,2019,
Alexander Albon,Azerbaijan,Medium New,13,50,38,2019,
Antonio Giovinazzi,Azerbaijan,Soft Used,1,7,7,2019,
Antonio Giovinazzi,Azerbaijan,Medium New,8,50,43,2019,
Kevin Magnussen,Azerbaijan,Soft Used,1,7,7,2019,
Kevin Magnussen,Azerbaijan,Medium New,8,39,32,2019,
Kevin Magnussen,Azerbaijan,Soft New,40,50,11,2019,
Nico Hulkenberg,Azerbaijan,Soft New,1,8,8,2019,
Nico Hulkenberg,Azerbaijan,Medium New,9,34,26,2019,
Nico Hulkenberg,Azerbaijan,Soft New,35,50,16,2019,
George Russell,Azerbaijan,Medium New,1,25,25,2019,
George Russell,Azerbaijan,Medium New,26,38,13,2019,
George Russell,Azerbaijan,Soft New,39,49,11,2019,
Robert Kubica,Azerbaijan,Medium New,1,23,23,2019,
Robert Kubica,Azerbaijan,Medium New,24,42,19,2019,
Robert Kubica,Azerbaijan,Soft New,43,49,7,2019,
Pierre Gasly,Azerbaijan,Medium New,1,38,38,2019,
Romain Grosjean,Azerbaijan,Medium New,1,34,34,2019,
Romain Grosjean,Azerbaijan,Soft Used,35,38,4,2019,
Daniil Kvyat,Azerbaijan,Soft Used,1,5,5,2019,
Daniil Kvyat,Azerbaijan,Medium New,6,33,28,2019,
Daniel Ricciardo,Azerbaijan,Soft New,1,10,10,2019,
Daniel Ricciardo,Azerbaijan,Medium New,11,31,21,2019,
Lewis Hamilton,Spain,Soft Used,1,27,27,2019,
Lewis Hamilton,Spain,Medium New,28,46,19,2019,
Lewis Hamilton,Spain,Soft Used,47,66,20,2019,
Valtteri Bottas,Spain,Soft Used,1,26,26,2019,
Valtteri Bottas,Spain,Medium New,27,45,19,2019,
Valtteri Bottas,Spain,Soft Used,46,66,21,2019,
Max Verstappen,Spain,Soft Used,1,20,20,2019,
Max Verstappen,Spain,Soft New,21,43,23,2019,
Max Verstappen,Spain,Medium New,44,66,23,2019,
Sebastian Vettel,Spain,Soft Used,1,19,19,2019,
Sebastian Vettel,Spain,Medium New,20,40,21,2019,
Sebastian Vettel,Spain,Medium New,41,66,26,2019,
Charles Leclerc,Spain,Soft Used,1,25,25,2019,
Charles Leclerc,Spain,Hard New,26,46,21,2019,
Charles Leclerc,Spain,Medium New,47,66,20,2019,
Pierre Gasly,Spain,Soft Used,1,22,22,2019,
Pierre Gasly,Spain,Medium New,23,46,24,2019,
Pierre Gasly,Spain,Soft Used,47,66,20,2019,
Kevin Magnussen,Spain,Soft Used,1,23,23,2019,
Kevin Magnussen,Spain,Medium New,24,45,22,2019,
Kevin Magnussen,Spain,Soft Used,46,66,21,2019,
Carlos Sainz,Spain,Soft New,1,24,24,2019,
Carlos Sainz,Spain,Medium New,25,46,22,2019,
Carlos Sainz,Spain,Soft Used,47,66,20,2019,
Daniil Kvyat,Spain,Soft Used,1,21,21,2019,
Daniil Kvyat,Spain,Medium New,22,45,24,2019,
Daniil Kvyat,Spain,Medium New,46,66,21,2019,
Romain Grosjean,Spain,Soft Used,1,26,26,2019,
Romain Grosjean,Spain,Medium New,27,46,20,2019,
Romain Grosjean,Spain,Soft Used,47,66,20,2019,
Alexander Albon,Spain,Soft New,1,25,25,2019,
Alexander Albon,Spain,Medium New,26,45,20,2019,
Alexander Albon,Spain,Medium New,46,66,21,2019,
Daniel Ricciardo,Spain,Soft Used,1,24,24,2019,
Daniel Ricciardo,Spain,Hard New,25,45,21,2019,
Daniel Ricciardo,Spain,Medium New,46,66,21,2019,
Nico Hulkenberg,Spain,Medium New,1,35,35,2019,
Nico Hulkenberg,Spain,Soft New,36,66,31,2019,
Kimi Räikkönen,Spain,Medium New,1,28,28,2019,
Kimi Räikkönen,Spain,Hard New,29,45,17,2019,
Kimi Räikkönen,Spain,Soft New,46,66,21,2019,
Sergio Perez,Spain,Soft New,1,24,24,2019,
Sergio Perez,Spain,Medium New,25,45,21,2019,
Sergio Perez,Spain,Soft Used,46,66,21,2019,
Antonio Giovinazzi,Spain,Soft New,1,6,6,2019,
Antonio Giovinazzi,Spain,Hard New,7,41,35,2019,
Antonio Giovinazzi,Spain,Soft New,42,66,25,2019,
George Russell,Spain,Medium New,1,32,32,2019,
George Russell,Spain,Soft New,33,44,12,2019,
George Russell,Spain,Medium New,45,65,21,2019,
Robert Kubica,Spain,Medium New,1,31,31,2019,
Robert Kubica,Spain,Soft New,32,44,13,2019,
Robert Kubica,Spain,Medium New,45,65,21,2019,
Lance Stroll,Spain,Medium New,1,22,22,2019,
Lance Stroll,Spain,Soft New,23,44,22,2019,
Lando Norris,Spain,Soft New,1,26,26,2019,
Lando Norris,Spain,Medium New,27,44,18,2019,
Lewis Hamilton,Monaco,Soft Used,1,11,11,2019,
Lewis Hamilton,Monaco,Medium New,12,78,67,2019,
Sebastian Vettel,Monaco,Soft Used,1,11,11,2019,
Sebastian Vettel,Monaco,Hard New,12,78,67,2019,
Valtteri Bottas,Monaco,Soft Used,1,11,11,2019,
Valtteri Bottas,Monaco,Medium New,12,12,1,2019,
Valtteri Bottas,Monaco,Hard New,13,78,66,2019,
Max Verstappen,Monaco,Soft Used,1,11,11,2019,
Max Verstappen,Monaco,Hard New,12,78,67,2019,
Pierre Gasly,Monaco,Soft Used,1,27,27,2019,
Pierre Gasly,Monaco,Medium New,28,62,35,2019,
Pierre Gasly,Monaco,Soft Used,63,78,16,2019,
Carlos Sainz,Monaco,Soft Used,1,30,30,2019,
Carlos Sainz,Monaco,Medium New,31,78,48,2019,
Daniil Kvyat,Monaco,Soft Used,1,32,32,2019,
Daniil Kvyat,Monaco,Medium New,33,78,46,2019,
Alexander Albon,Monaco,Soft Used,1,40,40,2019,
Alexander Albon,Monaco,Medium New,41,78,38,2019,
Daniel Ricciardo,Monaco,Soft Used,1,11,11,2019,
Daniel Ricciardo,Monaco,Medium New,12,78,67,2019,
Romain Grosjean,Monaco,Soft New,1,50,50,2019,
Romain Grosjean,Monaco,Medium New,51,78,28,2019,
Lando Norris,Monaco,Soft New,48,78,31,2019,
Lando Norris,Monaco,Medium New,1,47,47,2019,
Sergio Perez,Monaco,Medium New,1,11,11,2019,
Sergio Perez,Monaco,Hard New,12,77,66,2019,
Nico Hulkenberg,Monaco,Medium New,1,9,9,2019,
Nico Hulkenberg,Monaco,Hard New,10,77,68,2019,
George Russell,Monaco,Medium New,1,10,10,2019,
George Russell,Monaco,Hard New,11,77,67,2019,
Lance Stroll,Monaco,Medium New,1,39,39,2019,
Lance Stroll,Monaco,Hard New,40,77,38,2019,
Kimi Räikkönen,Monaco,Soft New,1,46,46,2019,
Kimi Räikkönen,Monaco,Medium New,47,77,31,2019,
Robert Kubica,Monaco,Medium New,1,21,21,2019,
Robert Kubica,Monaco,Hard New,22,77,56,2019,
Antonio Giovinazzi,Monaco,Medium New,45,76,32,2019,
Charles Leclerc,Monaco,Medium New,1,9,9,2019,
Charles Leclerc,Monaco,Hard New,10,16,7,2019,
Charles Leclerc,Monaco,Soft New,17,17,1,2019,
Antonio Giovinazzi,Monaco,Soft New,1,44,44,2019,
Kevin Magnussen,Monaco,Soft Used,1,11,11,2019,
Kevin Magnussen,Monaco,Medium New,12,77,66,2019,
Lewis Hamilton,Canada,Medium Used,1,28,28,2019,
Lewis Hamilton,Canada,Hard New,29,70,42,2019,
Sebastian Vettel,Canada,Medium Used,1,26,26,2019,
Sebastian Vettel,Canada,Hard New,27,70,44,2019,
Charles Leclerc,Canada,Medium Used,1,33,33,2019,
Charles Leclerc,Canada,Hard New,34,70,37,2019,
Valtteri Bottas,Canada,Medium Used,1,30,30,2019,
Max Verstappen,Canada,Hard New,1,48,48,2019,
Max Verstappen,Canada,Medium Used,49,70,22,2019,
Daniel Ricciardo,Canada,Soft Used,1,8,8,2019,
Daniel Ricciardo,Canada,Hard New,9,69,61,2019,
Nico Hulkenberg,Canada,Soft Used,1,16,16,2019,
Nico Hulkenberg,Canada,Hard New,17,69,53,2019,
Pierre Gasly,Canada,Soft Used,1,7,7,2019,
Pierre Gasly,Canada,Hard New,8,69,62,2019,
Lance Stroll,Canada,Hard New,1,45,45,2019,
Lance Stroll,Canada,Medium New,46,69,24,2019,
Daniil Kvyat,Canada,Medium New,1,12,12,2019,
Daniil Kvyat,Canada,Hard New,13,69,57,2019,
Valtteri Bottas,Canada,Hard New,31,67,37,2019,
Valtteri Bottas,Canada,Soft Used,68,70,3,2019,
Carlos Sainz,Canada,Soft Used,1,3,3,2019,
Carlos Sainz,Canada,Hard New,4,69,66,2019,
Sergio Perez,Canada,Medium New,1,11,11,2019,
Sergio Perez,Canada,Hard New,12,69,58,2019,
Antonio Giovinazzi,Canada,Hard New,1,33,33,2019,
Antonio Giovinazzi,Canada,Medium New,34,69,36,2019,
Romain Grosjean,Canada,Medium New,1,34,34,2019,
Romain Grosjean,Canada,Hard New,35,69,35,2019,
Kimi Räikkönen,Canada,Medium Used,1,6,6,2019,
Kimi Räikkönen,Canada,Hard New,7,58,52,2019,
Kimi Räikkönen,Canada,Soft New,59,69,11,2019,
George Russell,Canada,Medium New,1,9,9,2019,
George Russell,Canada,Hard New,10,68,59,2019,
Kevin Magnussen,Canada,Hard New,1,39,39,2019,
Kevin Magnussen,Canada,Medium New,40,68,29,2019,
Robert Kubica,Canada,Medium New,1,8,8,2019,
Robert Kubica,Canada,Hard New,9,38,30,2019,
Robert Kubica,Canada,Hard New,39,67,29,2019,
Alexander Albon,Canada,Medium New,1,1,1,2019,
Alexander Albon,Canada,Hard New,2,59,58,2019,
Lando Norris,Canada,Soft Used,1,8,8,2019,
Lewis Hamilton,France,Medium Used,1,24,24,2019,
Lewis Hamilton,France,Hard New,24,53,30,2019,
Valtteri Bottas,France,Medium Used,1,23,23,2019,
Valtteri Bottas,France,Hard New,24,53,30,2019,
Charles Leclerc,France,Medium Used,1,21,21,2019,
Charles Leclerc,France,Hard New,22,53,32,2019,
Max Verstappen,France,Medium Used,1,20,20,2019,
Max Verstappen,France,Hard New,21,53,33,2019,
Sebastian Vettel,France,Medium Used,1,25,25,2019,
Sebastian Vettel,France,Hard New,26,51,26,2019,
Sebastian Vettel,France,Soft New,52,53,2,2019,
Carlos Sainz,France,Medium Used,1,19,19,2019,
Carlos Sainz,France,Hard New,20,53,34,2019,
Daniel Ricciardo,France,Medium Used,1,16,16,2019,
Daniel Ricciardo,France,Hard New,17,52,36,2019,
Kimi Räikkönen,France,Hard New,1,31,31,2019,
Kimi Räikkönen,France,Medium Used,32,52,21,2019,
Nico Hulkenberg,France,Hard New,1,34,34,2019,
Nico Hulkenberg,France,Medium Used,35,52,18,2019,
Lando Norris,France,Medium Used,1,18,18,2019,
Lando Norris,France,Hard New,19,52,34,2019,
Pierre Gasly,France,Soft Used,1,17,17,2019,
Pierre Gasly,France,Hard New,18,52,35,2019,
Sergio Perez,France,Medium New,1,18,18,2019,
Sergio Perez,France,Hard New,19,52,34,2019,
Lance Stroll,France,Hard New,1,39,39,2019,
Lance Stroll,France,Medium New,40,52,13,2019,
Daniil Kvyat,France,Hard New,1,32,32,2019,
Daniil Kvyat,France,Medium New,33,52,20,2019,
Alexander Albon,France,Medium New,1,25,25,2019,
Alexander Albon,France,Hard New,26,52,27,2019,
Antonio Giovinazzi,France,Soft Used,1,7,7,2019,
Antonio Giovinazzi,France,Hard New,8,34,27,2019,
Antonio Giovinazzi,France,Medium New,35,52,18,2019,
Kevin Magnussen,France,Medium New,1,16,16,2019,
Kevin Magnussen,France,Hard New,17,52,36,2019,
Robert Kubica,France,Medium New,1,24,24,2019,
Robert Kubica,France,Hard New,25,51,27,2019,
George Russell,France,Medium New,1,25,25,2019,
George Russell,France,Hard New,26,33,8,2019,
George Russell,France,Medium New,34,51,18,2019,
Romain Grosjean,France,Hard New,1,31,31,2019,
Romain Grosjean,France,Medium New,32,44,13,2019,
Max Verstappen,Austria,Medium Used,1,31,31,2019,
Max Verstappen,Austria,Hard New,32,71,40,2019,
Charles Leclerc,Austria,Soft Used,1,22,22,2019,
Charles Leclerc,Austria,Hard New,23,71,49,2019,
Valtteri Bottas,Austria,Medium Used,1,21,21,2019,
Valtteri Bottas,Austria,Hard New,22,71,50,2019,
Sebastian Vettel,Austria,Soft Used,1,21,21,2019,
Sebastian Vettel,Austria,Hard New,22,50,29,2019,
Lewis Hamilton,Austria,Medium Used,1,30,30,2019,
Lewis Hamilton,Austria,Hard New,31,71,41,2019,
Lando Norris,Austria,Soft Used,1,25,25,2019,
Lando Norris,Austria,Medium New,26,70,45,2019,
Pierre Gasly,Austria,Soft Used,1,25,25,2019,
Pierre Gasly,Austria,Hard New,26,70,45,2019,
Carlos Sainz,Austria,Medium New,1,41,41,2019,
Carlos Sainz,Austria,Hard New,42,70,29,2019,
Kimi Räikkönen,Austria,Soft Used,1,23,23,2019,
Kimi Räikkönen,Austria,Hard New,24,70,47,2019,
Antonio Giovinazzi,Austria,Soft Used,1,24,24,2019,
Sergio Perez,Austria,Medium New,1,28,28,2019,
Sergio Perez,Austria,Hard New,29,70,42,2019,
Daniel Ricciardo,Austria,Medium New,1,46,46,2019,
Daniel Ricciardo,Austria,Soft New,47,70,24,2019,
Nico Hulkenberg,Austria,Medium New,1,26,26,2019,
Nico Hulkenberg,Austria,Hard New,27,70,44,2019,
Lance Stroll,Austria,Medium New,1,25,25,2019,
Lance Stroll,Austria,Hard New,26,70,45,2019,
Alexander Albon,Austria,Medium New,1,35,35,2019,
Alexander Albon,Austria,Hard New,36,70,35,2019,
Romain Grosjean,Austria,Medium New,1,34,34,2019,
Romain Grosjean,Austria,Hard New,35,70,36,2019,
Daniil Kvyat,Austria,Medium New,1,32,32,2019,
Daniil Kvyat,Austria,Hard New,33,70,38,2019,
George Russell,Austria,Medium New,1,27,27,2019,
George Russell,Austria,Hard New,28,69,42,2019,
Kevin Magnussen,Austria,Soft Used,1,11,11,2019,
Kevin Magnussen,Austria,Hard New,12,62,51,2019,
Kevin Magnussen,Austria,Soft Used,63,69,7,2019,
Robert Kubica,Austria,Medium New,1,19,19,2019,
Robert Kubica,Austria,Hard New,20,68,49,2019,
Sebastian Vettel,Austria,Soft New,51,71,21,2019,
Antonio Giovinazzi,Austria,Hard New,25,70,46,2019,
Lewis Hamilton,Great Britain,Medium Used,1,20,20,2019,
Lewis Hamilton,Great Britain,Hard New,21,52,32,2019,
Valtteri Bottas,Great Britain,Medium Used,1,16,16,2019,
Valtteri Bottas,Great Britain,Medium New,17,45,29,2019,
Valtteri Bottas,Great Britain,Soft Used,46,52,7,2019,
Charles Leclerc,Great Britain,Soft Used,1,13,13,2019,
Charles Leclerc,Great Britain,Medium Used,14,21,8,2019,
Charles Leclerc,Great Britain,Hard Used,22,52,31,2019,
Pierre Gasly,Great Britain,Medium Used,1,12,12,2019,
Pierre Gasly,Great Britain,Hard New,13,52,40,2019,
Max Verstappen,Great Britain,Medium Used,1,13,13,2019,
Max Verstappen,Great Britain,Medium New,14,20,7,2019,
Max Verstappen,Great Britain,Hard New,21,52,32,2019,
Carlos Sainz,Great Britain,Medium New,1,20,20,2019,
Carlos Sainz,Great Britain,Hard New,21,52,32,2019,
Daniel Ricciardo,Great Britain,Soft New,1,12,12,2019,
Daniel Ricciardo,Great Britain,Medium New,13,20,8,2019,
Daniel Ricciardo,Great Britain,Hard New,21,52,32,2019,
Kimi Räikkönen,Great Britain,Medium New,1,17,17,2019,
Kimi Räikkönen,Great Britain,Hard New,18,52,35,2019,
Daniil Kvyat,Great Britain,Soft New,1,12,12,2019,
Daniil Kvyat,Great Britain,Medium New,13,21,9,2019,
Daniil Kvyat,Great Britain,Hard Used,22,52,31,2019,
Nico Hulkenberg,Great Britain,Soft Used,1,13,13,2019,
Nico Hulkenberg,Great Britain,Hard Used,14,52,39,2019,
Lando Norris,Great Britain,Soft Used,1,13,13,2019,
Lando Norris,Great Britain,Medium New,14,35,22,2019,
Lando Norris,Great Britain,Hard New,36,52,17,2019,
Alexander Albon,Great Britain,Soft Used,1,13,13,2019,
Alexander Albon,Great Britain,Medium New,14,52,39,2019,
Lance Stroll,Great Britain,Medium New,1,13,13,2019,
Lance Stroll,Great Britain,Hard New,14,39,26,2019,
Lance Stroll,Great Britain,Soft New,40,52,13,2019,
George Russell,Great Britain,Medium New,1,21,21,2019,
George Russell,Great Britain,Hard New,22,51,30,2019,
Robert Kubica,Great Britain,Medium New,1,20,20,2019,
Robert Kubica,Great Britain,Hard New,21,51,31,2019,
Sebastian Vettel,Great Britain,Soft Used,1,20,20,2019,
Sebastian Vettel,Great Britain,Hard Used,21,38,18,2019,
Sebastian Vettel,Great Britain,Medium New,39,51,13,2019,
Sergio Perez,Great Britain,Medium New,1,18,18,2019,
Sergio Perez,Great Britain,Hard New,19,24,6,2019,
Sergio Perez,Great Britain,Soft New,25,46,22,2019,
Sergio Perez,Great Britain,Soft Used,47,51,5,2019,
Antonio Giovinazzi,Great Britain,Medium New,1,18,18,2019,
Romain Grosjean,Great Britain,Soft New,1,1,1,2019,
Romain Grosjean,Great Britain,Hard New,2,9,8,2019,
Kevin Magnussen,Great Britain,Soft New,1,1,1,2019,
Kevin Magnussen,Great Britain,Hard New,2,6,5,2019,
Max Verstappen,Germany,Wet New,1,3,3,2019,
Max Verstappen,Germany,Intermediate New,4,25,22,2019,
Max Verstappen,Germany,Medium Used,26,29,4,2019,
Max Verstappen,Germany,Intermediate New,30,41,12,2019,
Max Verstappen,Germany,Intermediate New,42,46,5,2019,
